9789351199380,Shikha,Agrawal
9789351199380,Sanjeev,Sharma
9789351199380,Jitendra,Agrawal
9788120348424,Gupta,D
9789351197584,D.T,Editorial Services
9789386601407,G,KP
9789352921171,NCERT, 
9789352604166,E,Balagurusamy
9789332549449,Brian W,Kernighan
9789332549449,Dennis,Ritchie
9789351343202,E,Balagurusamy
9788131773383,Robert C,Martin
9788131705216,Bjarne,STROUSTRUP
9788126563050,Joh Paul,Mueller
9788126568932,Tiana,Laurence
9788126576104,Joh Paul,Mueller
9789351198147,Allen,Downey
9789388176644,Yashavant,Kanetkar
9780984782864,Gayle Laakmann,McDowell
9789386551337,Mike,Mcgrath
9789386551375,Mike,Mcgrath
9781316601853,Subrata,Saha
9789332543553,Kamthane,sah